Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Eventos_Danios,Chrome 72.0.3626.119,,2019-03-05 17:11:03,2019-03-05 17:13:09,"2m - 6,214s",PASSED
,,,,,,
Test Cases/1.Configuraciones/2.Danios/1.Crear,Chrome 72.0.3626.119,,2019-03-05 17:11:04,2019-03-05 17:11:47,"43,865s",PASSED
callTestCase,Chrome 72.0.3626.119,,2019-03-05 17:11:04,2019-03-05 17:11:25,"20,976s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:11:25,2019-03-05 17:11:27,"2,012s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:11:27,2019-03-05 17:11:27,"0,131s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:11:27,2019-03-05 17:11:29,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:11:29,2019-03-05 17:11:29,"0,016s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:11:29,2019-03-05 17:11:31,"2,004s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-05 17:11:31,2019-03-05 17:11:34,"2,666s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:11:34,2019-03-05 17:11:36,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:11:36,2019-03-05 17:11:36,"0,037s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:11:36,2019-03-05 17:11:38,"2,003s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-05 17:11:38,2019-03-05 17:11:38,"0,263s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:11:38,2019-03-05 17:11:40,"2,002s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-05 17:11:40,2019-03-05 17:11:40,"0,206s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:11:40,2019-03-05 17:11:42,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:11:42,2019-03-05 17:11:42,"0,044s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:11:42,2019-03-05 17:11:44,"2,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:11:44,2019-03-05 17:11:44,"0,016s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:11:44,2019-03-05 17:11:47,"3,003s",PASSED
,,,,,,
Test Cases/1.Configuraciones/2.Danios/2.Ver,Chrome 72.0.3626.119,,2019-03-05 17:11:47,2019-03-05 17:12:01,"13,992s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:11:48,2019-03-05 17:11:50,"2,004s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-05 17:11:50,2019-03-05 17:11:53,"3,570s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:11:53,2019-03-05 17:11:55,"2,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:11:55,2019-03-05 17:11:55,"0,024s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:11:55,2019-03-05 17:11:57,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:11:57,2019-03-05 17:11:57,"0,034s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:11:57,2019-03-05 17:11:59,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:11:59,2019-03-05 17:11:59,"0,031s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:11:59,2019-03-05 17:12:01,"2,001s",PASSED
,,,,,,
Test Cases/1.Configuraciones/2.Danios/3.Inhabilitar,Chrome 72.0.3626.119,,2019-03-05 17:12:01,2019-03-05 17:12:34,"32,597s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-05 17:12:02,2019-03-05 17:12:05,"2,963s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:12:05,2019-03-05 17:12:07,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:12:07,2019-03-05 17:12:07,"0,029s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:12:07,2019-03-05 17:12:09,"2,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:12:09,2019-03-05 17:12:09,"0,029s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:12:09,2019-03-05 17:12:11,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:12:11,2019-03-05 17:12:11,"0,020s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:12:11,2019-03-05 17:12:13,"2,005s",PASSED
acceptAlert,Chrome 72.0.3626.119,,2019-03-05 17:12:13,2019-03-05 17:12:13,"0,043s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:12:13,2019-03-05 17:12:23,"10,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:12:23,2019-03-05 17:12:23,"0,035s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:12:23,2019-03-05 17:12:25,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:12:25,2019-03-05 17:12:25,"0,030s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:12:25,2019-03-05 17:12:27,"2,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:12:27,2019-03-05 17:12:27,"0,013s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:12:27,2019-03-05 17:12:29,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:12:29,2019-03-05 17:12:29,"0,040s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:12:29,2019-03-05 17:12:31,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 17:12:31,2019-03-05 17:12:31,"0,013s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 17:12:31,2019-03-05 17:12:34,"3,002s",PASSED
,,,,,,
