Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Eventos_Insumos,Chrome 72.0.3626.119,,2019-03-06 17:13:59,2019-03-06 17:16:36,"2m - 36,953s",PASSED
,,,,,,
Test Cases/1.Configuraciones/6.Insumos/1.Crear,Chrome 72.0.3626.119,,2019-03-06 17:13:59,2019-03-06 17:14:59,"1m - 0,108s",PASSED
callTestCase,Chrome 72.0.3626.119,,2019-03-06 17:14:00,2019-03-06 17:14:19,"19,444s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:14:19,2019-03-06 17:14:21,"2,011s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 17:14:21,2019-03-06 17:14:21,"0,067s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:14:21,2019-03-06 17:14:23,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 17:14:23,2019-03-06 17:14:23,"0,015s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:14:23,2019-03-06 17:14:25,"2,004s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-06 17:14:25,2019-03-06 17:14:30,"5,380s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:14:30,2019-03-06 17:14:32,"2,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 17:14:32,2019-03-06 17:14:33,"0,046s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:14:33,2019-03-06 17:14:35,"2,003s",PASSED
selectOptionByValue,Chrome 72.0.3626.119,,2019-03-06 17:14:35,2019-03-06 17:14:35,"0,245s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:14:35,2019-03-06 17:14:37,"2,021s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 17:14:37,2019-03-06 17:14:37,"0,219s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:14:37,2019-03-06 17:14:39,"2,002s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 17:14:39,2019-03-06 17:14:39,"0,289s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:14:39,2019-03-06 17:14:41,"2,002s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 17:14:41,2019-03-06 17:14:41,"0,178s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:14:41,2019-03-06 17:14:43,"2,002s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 17:14:43,2019-03-06 17:14:44,"0,152s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:14:44,2019-03-06 17:14:46,"2,002s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 17:14:46,2019-03-06 17:14:46,"0,135s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:14:46,2019-03-06 17:14:48,"2,003s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 17:14:48,2019-03-06 17:14:48,"0,203s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:14:48,2019-03-06 17:14:50,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 17:14:50,2019-03-06 17:14:50,"0,065s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:14:50,2019-03-06 17:14:52,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 17:14:52,2019-03-06 17:14:52,"0,095s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:14:52,2019-03-06 17:14:54,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 17:14:54,2019-03-06 17:14:54,"0,035s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:14:54,2019-03-06 17:14:56,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 17:14:56,2019-03-06 17:14:56,"0,041s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:14:56,2019-03-06 17:14:59,"3,002s",PASSED
,,,,,,
Test Cases/1.Configuraciones/6.Insumos/2.Ver,Chrome 72.0.3626.119,,2019-03-06 17:14:59,2019-03-06 17:15:12,"13,104s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:14:59,2019-03-06 17:15:01,"2,002s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-06 17:15:01,2019-03-06 17:15:04,"2,768s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:15:04,2019-03-06 17:15:06,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 17:15:06,2019-03-06 17:15:06,"0,031s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:15:06,2019-03-06 17:15:08,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 17:15:08,2019-03-06 17:15:08,"0,048s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:15:08,2019-03-06 17:15:10,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 17:15:10,2019-03-06 17:15:10,"0,009s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 17:15:10,2019-03-06 17:15:12,"2,001s",PASSED
,,,,,,
Test Cases/1.Configuraciones/6.Insumos/3.Inhabilitar,Chrome 72.0.3626.119,,2019-03-06 17:15:12,2019-03-06 17:15:46,"33,441s",PASSED
