Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Eventos_Nivel Danio,Chrome 72.0.3626.119,,2019-03-05 16:21:20,2019-03-05 16:23:19,"1m - 59,036s",PASSED
,,,,,,
Test Cases/1.Configuraciones/1.Niveles de Danio/1.Crear,Chrome 72.0.3626.119,,2019-03-05 16:21:20,2019-03-05 16:22:00,"39,198s",PASSED
callTestCase,Chrome 72.0.3626.119,,2019-03-05 16:21:21,2019-03-05 16:21:37,"16,154s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 16:21:37,2019-03-05 16:21:39,"2,010s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 16:21:39,2019-03-05 16:21:39,"0,041s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 16:21:39,2019-03-05 16:21:41,"2,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 16:21:41,2019-03-05 16:21:41,"0,017s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 16:21:41,2019-03-05 16:21:43,"2,005s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-05 16:21:43,2019-03-05 16:21:46,"2,855s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 16:21:46,2019-03-05 16:21:48,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 16:21:48,2019-03-05 16:21:48,"0,031s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 16:21:48,2019-03-05 16:21:50,"2,003s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-05 16:21:50,2019-03-05 16:21:50,"0,218s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 16:21:50,2019-03-05 16:21:52,"2,003s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-05 16:21:52,2019-03-05 16:21:53,"0,226s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 16:21:53,2019-03-05 16:21:55,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 16:21:55,2019-03-05 16:21:55,"0,037s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-05 16:21:55,2019-03-05 16:21:57,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-05 16:21:57,2019-03-05 16:21:57,"0,013s",PASSED
