Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Eventos_PriorizacionFactores,Chrome 72.0.3626.119,,2019-03-06 11:48:32,2019-03-06 11:50:46,"2m - 13,929s",PASSED
,,,,,,
Test Cases/1.Configuraciones/4.Priorizacion Factores Contributivos/1.Crear,Chrome 72.0.3626.119,,2019-03-06 11:48:33,2019-03-06 11:49:21,"47,957s",PASSED
callTestCase,Chrome 72.0.3626.119,,2019-03-06 11:48:33,2019-03-06 11:48:53,"19,292s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:48:53,2019-03-06 11:48:55,"2,014s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:48:55,2019-03-06 11:48:55,"0,048s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:48:55,2019-03-06 11:48:57,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:48:57,2019-03-06 11:48:57,"0,047s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:48:57,2019-03-06 11:48:59,"2,003s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-06 11:48:59,2019-03-06 11:49:01,"1,949s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:49:01,2019-03-06 11:49:03,"2,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:49:03,2019-03-06 11:49:03,"0,041s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:49:03,2019-03-06 11:49:05,"2,005s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 11:49:05,2019-03-06 11:49:05,"0,278s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:49:05,2019-03-06 11:49:07,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:49:07,2019-03-06 11:49:07,"0,036s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:49:07,2019-03-06 11:49:09,"2,004s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 11:49:09,2019-03-06 11:49:09,"0,171s",PASSED
