Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Eventos_TiposInsumos,Chrome 72.0.3626.119,,2019-03-06 14:33:47,2019-03-06 14:36:10,"2m - 22,503s",PASSED
,,,,,,
Test Cases/1.Configuraciones/5.Tipos de Insumos/1.Crear,Chrome 72.0.3626.119,,2019-03-06 14:33:48,2019-03-06 14:34:40,"52,338s",PASSED
callTestCase,Chrome 72.0.3626.119,,2019-03-06 14:33:48,2019-03-06 14:34:13,"24,933s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:34:13,2019-03-06 14:34:15,"2,012s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 14:34:15,2019-03-06 14:34:15,"0,071s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:34:15,2019-03-06 14:34:17,"2,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 14:34:17,2019-03-06 14:34:17,"0,043s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:34:17,2019-03-06 14:34:19,"2,004s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-06 14:34:19,2019-03-06 14:34:24,"5,113s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:34:24,2019-03-06 14:34:26,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 14:34:26,2019-03-06 14:34:27,"0,040s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:34:27,2019-03-06 14:34:29,"2,004s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 14:34:29,2019-03-06 14:34:29,"0,252s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:34:29,2019-03-06 14:34:31,"2,004s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 14:34:31,2019-03-06 14:34:31,"0,239s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:34:31,2019-03-06 14:34:33,"2,003s",PASSED
click,Chrome 72.0.3626.119,,2019-03-06 14:34:33,2019-03-06 14:34:33,"0,099s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:34:33,2019-03-06 14:34:35,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 14:34:35,2019-03-06 14:34:35,"0,038s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:34:35,2019-03-06 14:34:37,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 14:34:37,2019-03-06 14:34:37,"0,035s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:34:37,2019-03-06 14:34:40,"3,003s",PASSED
,,,,,,
Test Cases/1.Configuraciones/5.Tipos de Insumos/2.Ver,Chrome 72.0.3626.119,,2019-03-06 14:34:40,2019-03-06 14:34:55,"14,925s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:34:41,2019-03-06 14:34:43,"2,004s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-06 14:34:43,2019-03-06 14:34:47,"4,521s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:34:47,2019-03-06 14:34:49,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 14:34:49,2019-03-06 14:34:49,"0,027s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:34:49,2019-03-06 14:34:51,"2,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 14:34:51,2019-03-06 14:34:51,"0,041s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:34:51,2019-03-06 14:34:53,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 14:34:53,2019-03-06 14:34:53,"0,015s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:34:53,2019-03-06 14:34:55,"2,003s",PASSED
,,,,,,
Test Cases/1.Configuraciones/5.Tipos de Insumos/3.Inhabilitar,Chrome 72.0.3626.119,,2019-03-06 14:34:55,2019-03-06 14:35:27,"31,561s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-06 14:34:55,2019-03-06 14:34:57,"1,979s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:34:57,2019-03-06 14:34:59,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 14:34:59,2019-03-06 14:34:59,"0,027s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:34:59,2019-03-06 14:35:01,"2,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 14:35:01,2019-03-06 14:35:01,"0,028s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:35:01,2019-03-06 14:35:03,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 14:35:03,2019-03-06 14:35:03,"0,025s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:35:03,2019-03-06 14:35:05,"2,004s",PASSED
acceptAlert,Chrome 72.0.3626.119,,2019-03-06 14:35:05,2019-03-06 14:35:06,"0,038s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:35:06,2019-03-06 14:35:16,"10,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 14:35:16,2019-03-06 14:35:16,"0,026s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:35:16,2019-03-06 14:35:18,"2,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 14:35:18,2019-03-06 14:35:18,"0,035s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:35:18,2019-03-06 14:35:20,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 14:35:20,2019-03-06 14:35:20,"0,013s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:35:20,2019-03-06 14:35:22,"2,001s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 14:35:22,2019-03-06 14:35:22,"0,038s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:35:22,2019-03-06 14:35:24,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 14:35:24,2019-03-06 14:35:24,"0,049s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:35:24,2019-03-06 14:35:27,"3,002s",PASSED
,,,,,,
Test Cases/1.Configuraciones/5.Tipos de Insumos/4.Editar,Chrome 72.0.3626.119,,2019-03-06 14:35:27,2019-03-06 14:35:56,"29,240s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 14:35:27,2019-03-06 14:35:29,"2,002s",PASSED
